ISIN,SYMBOL,EXDATE,SUBJECT
"INE544R01013","GREENLAM","21-Mar-2025","Bonus 1:1"
"INE278R01034","DHARAN","04-Apr-2025","Bonus 1:1"
"INE003A01024","SIEMENS","07-Apr-2025","Demerger"
"INE615P01015","QUESS","15-Apr-2025","Demerger"
"INE916Y01019","AFIL","17-Apr-2025","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE268H01036","NAVKARURB","24-Apr-2025","Bonus 3:2"
"INE089C01029","STLTECH","24-Apr-2025","Demerger"
"INE00FF01025","ACUTAAS","25-Apr-2025","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share"
"INE368U01011","UNITEDPOLY","02-May-2025","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE663F01024","NAUKRI","07-May-2025","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE995D01025","CHEMBOND","09-May-2025","Demerger"
"INE521J01018","CPCAP","09-May-2025","Demerger"
"INE268H01036","NAVKARURB","09-May-2025","Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share"
"INE301A01014","RAYMOND","14-May-2025","Demerger"
"INE647O01011","ABFRL","22-May-2025","Demerger"
"INE118H01025","BSE","23-May-2025","Bonus 2:1"
"INE899L01030","UEL","30-May-2025","Bonus 17:25"
"INE591G01017","COFORGE","04-Jun-2025","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE834I01025","KHADIM","06-Jun-2025","Demerger"
"INE386A01015","VESUVIUS","10-Jun-2025","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE579C01029","VIMTALABS","13-Jun-2025","Bonus 1:1"
"INE296A01016","BAJFINANCE","16-Jun-2025","Bonus 4:1"
"INE296A01016","BAJFINANCE","16-Jun-2025","Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share"
"INE665J01013","VMART","23-Jun-2025","Bonus 3:1"
"INE188Y01015","VERTOZ","25-Jun-2025","Consolidation Of Equity Shares From Re 1 Per Share To Rs 10 Per Share"
"INE111A01017","CONCOR","04-Jul-2025","Bonus 1:4"
"INE01GN01017","IRISDOREME","04-Jul-2025","Bonus 1:1"
"INE045601015","PARAS","04-Jul-2025","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share"
"INE597I01010","SHARDAMOTR","04-Jul-2025","Bonus 1:1"
"INE600Y01019","DYCL","11-Jul-2025","Bonus 1:1"
"INE535D01029","ROTO","11-Jul-2025","Bonus 2:1"
"INE489G01022","ANUHPHR","15-Jul-2025","Bonus 1:1"
"INE208A01029","ASHOKLEY","16-Jul-2025","Bonus 1:1"
"INE879I01012","DBREALTY","18-Jul-2025","Demerger"
"INE133Y01011","IFGLEXPOR","18-Jul-2025","Bonus 1:1"
"INE337M01013","INDOTHAI","18-Jul-2025","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE775A01035","MOTHERSON","18-Jul-2025","Bonus 1:2"
"INE0FS801015","MSUMI","18-Jul-2025","Bonus 1:2"
"INE164B01022","KELLTONTEC","25-Jul-2025","Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share"
"INE239A01016","NESTLEIND","08-Aug-2025","Bonus 1:1"
"INE560A01015","INDIAGLYCO","12-Aug-2025","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share"
"INE366I01010","VRLLOG","14-Aug-2025","Bonus 1:1"
"INE060X01018","DEVIT","21-Aug-2025","Face Value Split (Sub-Division) - From Rs 5/- Per Share To Rs 2/- Per Share"
"INE721Z01010","AARON","25-Aug-2025","Bonus 1:1"
"INE494B01015","TVSMOTOR","25-Aug-2025","Scheme Of Arrangement - Bonus Ncrps 4:1"
"INE040A01018","HDFCBANK","26-Aug-2025","Bonus 1:1"
"INE036D01010","KARURVYSYA","26-Aug-2025","Bonus 1:5"
"INE124E01020","STEELCAS","29-Aug-2025","Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share"
"INE07S101020","PAVNAIND","01-Sep-2025","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE619A01035","PATANJALI","11-Sep-2025","Bonus 2:1"
"INE771F01025","FISCHER","12-Sep-2025","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE260B01010","GODFRYPHLP","16-Sep-2025","Bonus 2:1"
"INE768C01010","ZYDUSWELL","18-Sep-2025","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE305A01015","TFCILTD","19-Sep-2025","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE814H01011","ADANIPOWER","22-Sep-2025","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE149K01016","SANDUMA","22-Sep-2025","Bonus 2:1"
"INE318A01026","PIDILITIND","23-Sep-2025","Bonus 1:1"
"INE508G01029","TIMETECHNO","23-Sep-2025","Bonus 1:1"
"INE274V01019","SHANKARA","24-Sep-2025","Demerger"
"INE418L01021","NAZARA","26-Sep-2025","Bonus 1:1"
"INE418L01021","NAZARA","26-Sep-2025","Face Value Split (Sub-Division) - From Rs 4/- Per Share To Rs 2/- Per Share"
"INE219Y01018","RMDRIP","26-Sep-2025","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE790G01023","SHILPAMED","03-Oct-2025","Bonus 1:1"
"INE235C01010","SUMEETINDS","03-Oct-2025","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE0A0S01010","SIGMA","06-Oct-2025","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE976R01017","AGIIL","10-Oct-2025","Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share"
"INE258Y01016","LGHL","10-Oct-2025","Bonus 7:5"
"INE899L01030","UEL","10-Oct-2025","Bonus 2:1"
"INE562X01013","UNIVASTU","13-Oct-2025","Bonus 2:1"
"INE314T01025","GOKULAGRO","14-Oct-2025","Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share"
"INE672A01018","TATAINVEST","14-Oct-2025","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE155A01022","TMPV","14-Oct-2025","Demerger"
"INE640A01023","SKFINDIA","15-Oct-2025","Demerger"
"INE00YB01017","ABINFRA","17-Oct-2025","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE645S01016","ROLEXRINGS","17-Oct-2025","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE669X01016","GEEKAYWIRE","30-Oct-2025","Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share"
"INE495A01022","DALMIASUG","31-Oct-2025","Demerger"
"INE045J01018","FCL","31-Oct-2025","Bonus 4:1"
"INE045J01018","FCL","31-Oct-2025","Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share"
"INE258A01016","BEML","03-Nov-2025","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share"
"INE418H01029","ALLCARGO","12-Nov-2025","Demerger"
"INE103C01036","SMCGLOBAL","14-Nov-2025","Bonus 1:1"
"INE855C01015","WEBELSOLAR","14-Nov-2025","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE127D01025","HDFCAMC","26-Nov-2025","Bonus 1:1"
"INE112X01017","SIKKO","27-Nov-2025","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE594H01019","THYROCARE","28-Nov-2025","Bonus 2:1"
"INE596I01012","CAMS","05-Dec-2025","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE030A01027","HINDUNILVR","05-Dec-2025","Demerger"
"INE112X01017","SIKKO","08-Dec-2025","Bonus 1:1"
"INE495P01012","BECTORFOOD","12-Dec-2025","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE838B01013","BHARATRAS","12-Dec-2025","Bonus 1:1"
"INE838B01013","BHARATRAS","12-Dec-2025","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share"
"INE296Q01012","MONEYBOXX","15-Dec-2025","Bonus 1:1"
"INE600L01024","LALPATHLAB","19-Dec-2025","Bonus 1:1"
"INE0CJD01011","KMEW","22-Dec-2025","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share"
